DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
254.75,86.2833,60.9899,108.58,96.52062685
255.5,90.8484,58.8375,107.57,96.96815572
255.75,92.1141,58.1325,107.57,95.37868547
256.25,94.8494,55.7342,100.11,95.98626334
256.5,95.5234,55.544,100.11,98.6017608
257.25,94.9448,53.2365,105.54,101.3900891
258.25,90.4634,42.4548,92.01,98.72842859
258.5,89.7762,40.7883,92.01,101.4319768
259.25,91.2729,41.9038,112.6,102.0009285
259.5,92.1934,44.8062,112.6,101.9386877
261,98.123,80.4526,102.02,108.7402948
262,92.1942,62.8962,102.28,100.111996
262.25,90.8735,62.4449,102.02,105.9944436
263,89.0041,70.0236,104.31,94.13393171
263.25,87.9344,71.3313,102.28,98.59709453
264,90.7063,68.0333,110.38,88.77300003
264.25,91.5939,65.7264,104.31,93.06556544
264.75,93.4653,62.0513,110.38,91.77897886
266,98.4594,62.8289,107.77,108.7739714
266.75,99.4159,60.6708,107.77,106.7459953
267,103.2672,59.3392,119.16,117.4604474
268.75,94.8339,68.9093,119,124.9803787
269.5,97.492,68.3106,115.26,137.4357307
269.75,98.1517,66.7502,115.26,142.450516
273.5,113.25,62.922,112.8,151.1095702
274.25,127.6479,67.8291,117.51,158.3249712
274.5,131.4951,67.8097,117.51,161.8512833
275.25,130.7516,66.5769,116.25,163.5694634
275.5,123.0453,67.1538,116.25,169.4935767
276.25,100.2064,68.811,114.08,185.4730472
276.5,98.8769,67.2236,114.08,189.9715984
277,98.867,60.4645,110.64,184.8501191
277.25,99.1051,58.2075,116.83,190.9787663
277.5,99.1694,57.5157,116.83,188.0145906
278.25,102.9342,62.6469,110.64,186.1677575
283,79.651,74.1448,104.67,149.0510797
283.75,91.9249,61.7737,104.67,144.2806499
285,92.611,54.9719,109.09,180.2981169
285.75,81.757,68.9132,109.09,177.1897297
286.75,93.7372,85.9437,115.09,172.9767735
287.5,112.727,116.8048,104.89,147.9981445
287.75,118.4027,114.9541,104.89,141.0505531
288.5,113.1261,65.886,108.79,128.8109277
288.75,109.2082,50.9232,108.79,125.7125869
290.5,89.7159,56.9448,113.01,106.8460009
290.75,90.016,57.1745,113.01,104.8637555
293.25,102.4927,51.174,120.07,96.225688
293.5,104.0433,50.8547,120.07,98.30089008
294.25,103.0421,48.575,106.84,95.11545953
294.5,102.5954,49.1492,106.84,94.06158594
295,100.77,58.3416,109.88,81.60943339
295.25,99.3707,62.1815,101.63,87.69756342
295.5,98.0379,63.3789,101.63,86.58324506
296,97.3697,65.1868,110.24,74.22709334
296.25,96.9772,64.5546,109.88,79.410267
297,98.2222,66.1557,102.5,72.13648892
297.25,99.382,67.1957,110.24,75.3014033
298,104.6425,66.8008,111.4,62.96131929
298.25,106.7406,67.3079,102.5,69.05978593
299,111.4107,79.914,106.84,63.41166355
299.25,112.7659,85.2556,111.4,62.22105025
300,112.6489,79.3027,110.32,59.16606329
300.75,99.8839,56.1274,110.32,61.97827216
301,94.714,49.1629,118.35,73.01757465
301.75,78.2005,46.3059,118.35,69.9301142
302,76.7187,45.7782,110.32,66.28351454
302.75,89.3876,47.1252,110.32,68.11139463
303,94.3235,48.1218,109.23,65.06599261
303.75,100.6326,52.1682,109.23,63.56423945
304.75,102.5834,59.6267,115.9,70.8089888
306.5,97.9181,49.473,109.88,72.95846642
306.75,96.5004,54.7784,109.88,73.54586362
307.5,98.1237,92.326,114.66,74.18219524
307.75,100.9364,100.769,114.66,73.37605177
308.5,100.0946,91.1706,112.49,72.57889658
308.75,99.6471,82.7039,112.49,74.32952365
309.25,98.6785,72.1574,112.6,76.18486492
309.5,98.254,69.9251,112.6,75.90462076
311.25,105.7064,71.4325,108.84,75.63640063
311.5,107.0127,71.2598,108.84,69.95695687
312.25,129.9653,68.7227,114.66,60.73171383
312.5,141.1653,67.0396,114.66,55.91801858
313,144.1138,64.3469,114.88,34.62261685
313.25,132.2774,61.455,115.82,42.74727379
314,86.5775,66.5479,112.36,32.38578339
314.25,80.3182,66.9499,114.88,34.84933278
315,85.5684,67.0862,109.88,34.80283448
316,84.9422,65.932,109.01,40.25691976
316.25,86.0154,64.9375,109.88,33.21544954
317,96.0577,63.3248,109.45,36.3731336
317.25,93.9701,60.639,109.01,36.83372293
318,92.1113,61.7481,113.44,36.95247878
318.75,90.3182,72.6627,113.44,37.87972348
319,89.1567,75.5772,114.88,38.46466303
319.75,88.9802,77.495,114.88,38.52310438
